material,bg_hse06 (eV),bg_pbesol (eV),r_s (AA),r_val (AA),e_H (eV),e_L (eV),AN,IP (eV),EA (eV),r_cov (AA),EN (Pauling),N_val,N_unf,max_OS,stdev_OS,lat_a (AA),lat_b (AA),lat_c (AA),std_charge,min_dist (AA),cbm (eV),vbm (eV),e_fermi (eV),skew_dos,kurt_dos
K2SO4,7.22305763,5.32436691,0.992321428571429,0.988935714285714,-9.02376857738042,2.25630714434535,12.2857142857143,10.50193678,1.27492056742857,1.10714285714286,2.56857142857143,4.57142857142857,1.71428571428571,6,3.67423461417477,7.51003295,5.74952873,10.08079916,0.33329290798983,1.48976739,-3.42732244,-8.75168935,-6.0895059,4.53685292671493,31.0123785373699
KNO3,4.9155,2.92910417,0.81831,0.79629,-9.85734400650165,1.22675400080914,10,11.945791746,0.962955006,0.944,2.836,4.8,2,5,3.68394198806504,6.42103204000046,5.42954249,9.19553685000004,0.241729082218654,1.22906062,-4.85051842,-7.7796226,-6.31507051,9.09937069616694,130.126859928379
Rb2S,2.93445178,1.9356159,1.77821666666667,1.81005,-4.58832666969301,0.75133666716223,30,6.23808873333333,1.01631231066667,1.81666666666667,1.40666666666667,2.66666666666667,1.33333333333333,1,2.12132034355964,5.42296471626304,5.42297992612552,5.42297996148087,0.428664860901729,3.31904236,-4.36069319,-6.29630909,-5.32850114,3.31566295567981,16.8186635466298
YIn2,0.11832752,0.08477042,1.36081666666667,1.34581666666667,-6.8394566711778,-1.59513333438544,45.6666666666667,5.92999046666667,0.358324,1.58,1.59333333333333,9.66666666666667,6.33333333333333,0,0,3.56254261,4.87260630492561,4.87260671733867,0.003341935140314,2.70750199,-5.17726509,-5.2620355,-5.21106317,9.4519382922321,111.289873392654
RbTaO3,5.08992231,3.56165786,1.02579,0.88295,-8.87123400585124,1.4192520009361,26.8,10.51617282,1.038470422,1.176,2.528,7.6,2.8,5,3.68394198806504,6.42182712034252,6.42182655646786,8.10781830901574,0.471191422064641,1.80690593,-4.73778339,-8.29944125,-6.51861232,6.24022100143195,79.4221550391665
Cs3CdH5,3.53349236,2.44381142,1.26798333333333,1.26798333333333,-6.27839667080774,0.324233333547189,24.2222222222222,9.85196779786667,0.496431194444444,1.14555555555556,1.67333333333333,2.22222222222222,0.888888888888889,2,1.53226175536575,8.52617987993881,8.52595632065124,8.51864742020464,0.245296372941423,1.82429913,-3.62627826,-6.07008969,-4.84818397,7.64349280754815,96.8310066638585
Mg3P2,2.25851679,1.47122786,1.14533,1.19641,-5.88064200387873,-1.69492400111793,13.2,8.782416,0.04664284,1.274,1.662,3.2,1.2,2,3.53553390593274,10.4050019095414,10.4050020365582,10.4050018402594,0.298068183247824,2.55194838,-4.68121823,-6.15244609,-5.41683216,3.05803280903532,29.8203737938409
WCl4,1.19081146,0.22502217,0.82793,0.76185,-9.15237400603668,3.83996600253274,28.4,11.9469124,3.053433824,1.14,3,9.6,2,4,3.53553390593274,6.83763053409152,6.83764605605512,8.33699231388254,0.171236997567314,2.28036919,-5.4321343,-5.65715646,-5.5481196,0.815354390939701,0.388247149767876
Si(Sn3O4)2,2.4427059,1.67578592,0.73723,0.84737,-11.3747073408358,0.632248000417015,25.2,10.7439752,1.316718992,0.982,2.74533333333333,9.06666666666667,2.93333333333333,4,2.95121626102779,7.28216165967758,7.28216119029681,11.82229869,0.377841531229239,1.60739712,-4.46964272,-6.14542864,-5.30753568,6.85670771198168,129.050847461013
SnP2O7,5.32387103,3.43297325,0.59493,0.62794,-11.0615040072959,1.4771600009743,13.6,12.3643675,1.28330215,0.815,3.042,6.6,2.4,5,4.52048477585045,8.2935092,8.2935122,8.29351658,0.419200685841187,1.47270057,-4.91844693,-8.35142017,-6.63493355,3.49764730768746,18.4642410839611
Ba(BH4)2,7.19317559,5.72156628,0.726586363636364,0.737204545454545,-8.39726546008408,0.499920000329735,6.72727272727273,11.8722890361469,0.612805136363636,0.573636363636364,2.05181818181818,1.45454545454545,1.63636363636364,2,2.08377188366623,6.73855351000002,6.90447381000007,4.64964191000102,0.201842196335013,1.22491807,-4.34996095,-10.07152723,-7.21074409,2.55094319951889,12.6821597442086
AuSO4,3.0454816,1.82548759,0.636116666666667,0.632166666666667,-10.7121566737321,2.26249500149229,21.1666666666667,12.342964,1.70502266033333,0.841666666666667,3.14666666666667,9.16666666666667,1.83333333333333,0,0,8.35007360000026,10.32588436,8.62169598000024,0.338529774359716,1.41181429,-5.85025125,-7.67573884,-6.76299505,2.19185361026557,7.73173109342604
In(IO3)3,4.32787544,2.9575838,0.614396153846154,0.662303846153846,-11.0378630842034,3.37494615607218,21.5384615384615,12.2848177461538,1.74700237230769,0.886923076923077,3.13230769230769,9.07692307692308,2,5,4.47213595499958,7.32016195176829,7.36861613239461,7.32936278463897,0.515316906158443,1.80545096,-4.22482898,-7.18241278,-5.70362088,21.467965758525,642.340804668264
K3NbO8,4.51270993,2.71204176,0.985566666666667,0.897283333333333,-9.23894000609377,1.82803500120573,13.5,10.7271067658333,1.17588556583333,1.08416666666667,2.63166666666667,4.66666666666667,2.16666666666667,0,0,6.20825540300748,6.2082554859769,6.20890077466654,0.339691422720019,1.35135305,-4.82698513,-7.53902689,-6.18300601,4.48357784502812,29.4308311160302
LaBrO,5.22456438,3.65628314,1.08098333333333,0.835316666666667,-8.37571000552441,2.67185000176228,33.3333333333333,10.336255,1.79407993333333,1.31,2.5,8.66666666666667,4,3,2.64575131106459,4.11289080001029,4.11288988000019,7.34072851000018,0.338529487121033,2.40039144,-4.66223897,-8.31852211,-6.49038054,5.64723119497137,43.6715537576212
NaRhO2,3.24230708,1.24747244,1.04095,0.803425,-8.1637450053846,0.760902500501873,18,9.95852174,1.1532572125,1.1,2.5225,5.5,2,3,2.68328157299975,5.39239001484419,5.3923900242675,5.39334306563286,0.325345547924144,2.07134048,-5.37123666,-6.6187091,-5.99497288,2.13198178031765,5.94108867676232
Zn(GaO2)2,4.24874544,2.48928099,0.709607142857143,0.795435714285714,-10.535327149806,1.36403857232826,17.7142857142857,10.8378601428571,0.832403342857143,0.9,2.71857142857143,8.85714285714286,2.57142857142857,3,3.08220700148449,5.90422456845118,5.90422309766903,5.9042231047401,0.375406673259022,1.96757286,-5.59990641,-8.0891874,-5.63887575,2.85547894006333,15.2893926404556
YCuO2,4.10094626,2.72466814,0.9763,0.75515,-8.47449750558956,0.493232500325324,21,10.2949375,1.11627865,1.135,2.5,6.5,3.5,3,2.68328157299975,3.52358687243123,3.52358686377134,11.27086827,0.405889385478939,1.8348726,-4.46242281,-7.18709095,-7.1446536,2.86487830696821,13.4293836192591
Ce2Sb2O7,1.12700808,0.43933699,0.853059090909091,0.742640909090909,-9.53575636992591,1.31457727359434,24.9090909090909,11.2382148181818,1.22423086181818,1.04363636363636,2.76545454545455,7.27272727272727,5.81818181818182,5,3.65148371670111,7.60062826178139,7.60063339532814,7.60063340947027,0.465692816426209,2.34359465,-6.29429684,-6.73363383,-6.51396533,8.12734401022219,108.81756592525
