material,bulk_modulus (eV/AA^3),r_sA,r_sB,r_valA,r_valB,r_s_catA,r_s_catB,r_val_catA,r_val_catB,e_hA,e_hB,e_lA,e_lB,ZA,ZB,IPA,IPB,EAA,EAB,ENA,ENB,oxA,oxB,A,B1,B2,A_atomic_stiffness,B_atomic_stiffness
Cs2CrPbO6,0.44206,2.51755,1.24955,2.51755,0.9267,0.81755,1.2014,0.94155,0.88685,-2.29006,-8.2794,-1.22595,-1.6569,55,53,3.89391,7.09159,0.47163,0.51628,0.79,1.995,1,5,Cs,Cr,Pb,1.43,13.85
K2CrVO6,1.20304,2.18365,1.4863,2.18365,0.46285,0.56995,1.40355,0.61135,0.45965,-2.62161,-4.49916,-1.15107,-1.10216,19,23.5,4.34066,6.75635,0.50146,0.60175,0.82,1.645,1,5,K,Cr,V,1.82,17.1
Ba2RhRhO6,1.02347,2.20615,1.50135,2.20615,0.61085,2.07185,1.34125,2.07185,0.60265,-3.35828,-4.88717,-1.33494,-2.75643,56,45,5.21166,7.4589,0.14463,1.14289,0.89,2.28,2,4,Ba,Rh,Rh,3.58,22.45
Pr2GePdO6,1.14618,2.02475,1.2032,0.36565,0.8764,1.89375,1.10495,0.36655,0.8375,-3.26203,-8.28563,-1.05666,-2.57968,59,39,5.4702,8.11814,0.10923,0.89741,1.13,2.105,4,2,Pr,Ge,Pd,6.38,13.23
Y2GaMoO6,1.27622,1.78395,1.2759,0.95895,1.04945,1.63185,1.2278,1.63185,0.84615,-3.97745,-6.95735,-1.37282,-1.42325,39,36.5,6.21726,6.54587,0.30712,0.52427,1.22,1.985,3,3,Y,Ga,Mo,8.42,16.16
Y2PtZnO6,1.19992,1.78395,1.2247,0.95895,0.89275,1.63185,1.13845,1.63185,0.85825,-3.97745,-5.88135,-1.37282,-2.25736,39,54,6.21726,9.17651,0.30712,0.75255,1.22,1.965,3,3,Y,Pt,Zn,8.42,15.78
Ce2CoZrO6,1.15773,2.07805,1.4801,1.35245,0.61365,1.91635,1.39175,0.38175,0.59575,-3.34104,-5.0345,-1.39487,-0.82068,58,33.5,5.5386,7.25757,0.572,0.54778,1.12,1.605,3,3,Ce,Co,Zr,4.78,14.14
Li2PtTcO6,1.03817,1.61625,1.38315,1.61625,0.6727,0.19135,1.29595,0.19135,0.6669,-3.41248,-4.86962,-0.8909,-3.60406,3,60.5,5.39171,8.03911,0.61805,1.33855,0.98,2.09,1,5,Li,Pt,Tc,1.76,25.815
Ca2NbPdO6,1.09195,1.80815,1.54555,1.80815,0.68485,1.65875,1.42555,1.65875,0.67345,-3.94208,-4.88007,-0.93507,-2.01356,20,43.5,6.11316,7.54784,0.02455,0.73977,1,1.9,2,4,Ca,Nb,Pd,4.44,18.775
Mg2BiNbO6,0.80434,1.35285,1.3033,1.35285,1.0419,1.26075,1.26735,1.26075,1.01145,-5.04225,-5.20919,-0.77042,-2.09382,12,62,7.64624,7.02218,-0.42,0.92988,1.31,1.81,2,4,Mg,Bi,Nb,5.26,14.435
Pm2AgWO6,0.81241,1.98305,1.38025,0.33615,1.06525,1.83585,1.32635,0.33605,0.66625,-3.30607,-4.9152,-1.25847,-2.59328,61,60.5,5.58187,7.72013,0.129,1.06037,1.13,2.145,3,3,Pm,Ag,W,6.83,20.33
Nd2NbTiO6,1.25376,2.00295,1.6053,0.35015,0.6664,1.89905,1.5201,0.34865,0.64995,-3.25222,-4.52306,-1.29622,-1.34352,60,31.5,5.525,6.79349,0.09749,0.49648,1.14,1.57,2,4,Nd,Nb,Ti,6.83,16.085
Mg2PdTcO6,0.96975,1.35285,1.45505,1.35285,0.62635,1.26075,1.33505,1.26075,0.6218,-5.04225,-4.73553,-0.77042,-2.89773,12,44.5,7.64624,7.72811,-0.42,0.55707,1.31,2.05,2,4,Mg,Pd,Tc,5.26,22.5
Sr2MoZnO6,0.93972,1.96785,1.3268,1.96785,0.92035,1.81085,1.2671,1.81085,0.88545,-3.70916,-5.62855,-0.90065,-0.78235,38,36,5.69487,8.24331,0.05207,0.06367,0.95,1.905,2,4,Sr,Mo,Zn,3.75,16.655
Sr2SnZrO6,1.01546,1.96785,1.3912,1.96785,1.11485,1.81085,1.30855,1.81085,1.06025,-3.70916,-7.38294,-0.90065,-2.0167,38,45,5.69487,6.98902,0.05207,0.77268,0.95,1.645,2,4,Sr,Sn,Zr,3.75,11.305
Ca2CoVO6,1.27191,1.80815,1.38605,1.80815,0.4187,1.65875,1.32635,1.65875,0.42,-3.94208,-4.97467,-0.93507,-0.61557,20,25,6.11316,7.3136,0.02455,0.59496,1,1.755,2,4,Ca,Co,V,4.44,14.73
Pm2SnTiO6,1.12691,1.98305,1.33705,0.33615,0.9503,1.83585,1.27045,0.33605,0.90755,-3.30607,-7.33558,-1.25847,-1.90005,61,36,5.58187,7.08602,0.129,0.59381,1.13,1.75,3,3,Pm,Sn,Ti,6.83,10.53
Mg2CrTcO6,1.34382,1.35285,1.44105,1.35285,0.558,1.26075,1.3693,1.26075,0.55475,-5.04225,-4.53512,-0.77042,-2.07453,12,33.5,7.64624,6.94295,-0.42,0.61392,1.31,1.78,2,4,Mg,Cr,Tc,5.26,23.285
