material_and_condition,Y_oxygenate,T,x_P,w_r_s,w_r_p,w_r_d,w_r_val,w_e_H,w_e_L,w_EA,w_IP,w_EN
718,2.09321901052414,275,0.15,1.35485,1.48141,0.812995,0.746215,-4.16392546569444,-2.70890147768203,-0.838983102573296,8.37931724741766,3.77016707242218
719,3.78166567942362,280,0.5,1.13385,1.27705,1.07522,0.85262,-4.78123696060856,0.068842999432817,-1.08496170259683,9.03643068704979,3.97573449222648
720,2.85446656597331,300,0.25,1.280125,1.43255,0.911475,0.800175,-4.48791746302515,-2.06287748300446,-0.824234759020464,8.75476321361819,3.96526422729886
721,8.80823327714688,250,0.65,1.044675,1.18491,1.176335,0.886955,-4.97519945901055,1.32990448904324,-1.23104664083106,9.22828151691987,3.99861743804441
722,2.24603371738019,215,0.3,1.2692,1.38637,0.90694,0.77338,-4.31296096446658,-1.40291298844175,-1.01094611058651,8.51404221275994,3.75154805108671
723,5.90320734218527,300,0.55,1.09825,1.25117,1.120875,0.876015,-4.92076945945899,0.41431849658653,-1.09052656570991,9.19559073788615,4.05253208608812
724,1.87532661101288,245,0.15,1.3619,1.47561,0.798655,0.731875,-4.07407146643473,-2.61904747842231,-0.890739242131287,8.26506551836205,3.68716313811538
725,3.30268688974393,340,0.175,1.312375,1.48877,0.8860125,0.8081025,-4.54818071252866,-2.85065272651417,-0.660619045676869,8.85877832453045,4.09907963942679
726,4.27554175859267,250,0.5,1.13385,1.27705,1.07522,0.85262,-4.78123696060856,0.068842999432817,-1.08496170259683,9.03643068704979,3.97573449222648
727,4.06531015904109,280,0.4,1.198,1.33461,0.99825,0.82017,-4.59202596216743,-0.711961994134322,-1.02207583681268,8.83236231443266,3.90514323880999
728,3.61877665224554,320,0.1,1.3710625,1.52324,0.806775,0.762255,-4.27149146480823,-3.30147547279996,-0.691088855675739,8.5343494514842,3.92163029790423
729,1.40823492345838,400,0.5,1.123275,1.28575,1.09673,0.87413,-4.91601795949814,-0.065937999456755,-1.00732749325985,9.2078082806332,4.10024039368668
730,4.44442766232558,320,0.45,1.15535,1.31453,1.058245,0.857905,-4.82141246027757,-0.456340496240325,-0.975884560367769,9.10577409432463,4.06494476697843
731,2.71967662000354,340,0.325,1.2214375,1.39808,0.9907125,0.8460225,-4.76460671074558,-1.61205473671868,-0.793764949021594,9.07919208666443,4.14271356882142
732,5.58844965136635,340,0.65,1.037625,1.19071,1.190675,0.901295,-5.06505345827027,1.24005048978353,-1.17929050127307,9.34253324597548,4.08162137235121
733,4.38933071569316,340,0.1,1.3552,1.53629,0.83904,0.79452,-4.47366296314259,-3.50364697113432,-0.57463754167026,8.79141584185931,4.10838915009453
734,3.10864494410132,320,0.2,1.3122,1.46133,0.87299,0.78395,-4.39331196380458,-2.45327997978803,-0.792791826128387,8.65272902730962,3.92996860059062
735,2.71459531639546,340,0.325,1.2214375,1.39808,0.9907125,0.8460225,-4.76460671074558,-1.61205473671868,-0.793764949021594,9.07919208666443,4.14271356882142
736,2.8476873526952,350,0.025,1.4033125,1.57946,0.7813125,0.7701825,-4.33175471431174,-4.08925071630967,-0.527473142332144,8.63836456239647,4.05544571003216
737,2.33060754976509,290,0.2,1.315725,1.45843,0.86582,0.77678,-4.34838496417473,-2.40835298015817,-0.818669895907382,8.59560316278182,3.88846663343722
738,3.17017951912193,300,0.325,1.2320125,1.38938,0.9692025,0.8245125,-4.629825711856,-1.47727373782911,-0.87139915835858,8.90781449308103,4.01820766736122
739,3.92993147519762,215,0.45,1.1765,1.29713,1.015225,0.814885,-4.55185046249842,-0.18677849846118,-1.13115297904174,8.76301890715782,3.81593296405804
740,2.50947266374671,290,0.05,1.41195,1.54477,0.750365,0.728105,-4.06456846651302,-3.57956047050888,-0.72434109723115,8.28950060385614,3.78257975331249
741,6.63940604445362,320,0.025,1.4033125,1.57946,0.7813125,0.7701825,-4.33175471431174,-4.08925071630967,-0.527473142332144,8.63836456239647,4.05544571003216
742,3.87411861965814,340,0.45,1.151825,1.31743,1.065415,0.865075,-4.86633945990743,-0.501267495870182,-0.950006490588774,9.16289995885244,4.10644673413183
743,3.33700471162395,320,0.25,1.280125,1.43255,0.911475,0.800175,-4.48791746302515,-2.06287748300446,-0.824234759020464,8.75476321361819,3.96526422729886
744,6.75059783581847,300,0.8,0.951975,1.09567,1.28462,0.92846,-5.2140889570424,2.54603897902381,-1.35125350928628,9.47725821131776,4.06300235101574
745,2.65976110782044,340,0.25,1.2642625,1.4456,0.94374,0.83244,-4.69008896135951,-2.26504898133882,-0.707783445014985,9.0118296039933,4.15202307948915
746,2.72424481989711,275,0.3,1.258625,1.39507,0.92845,0.79489,-4.44774196335615,-1.53769398733132,-0.933311901249528,8.68541980634334,3.87605395254691
747,2.78432774805721,340,0.25,1.2642625,1.4456,0.94374,0.83244,-4.69008896135951,-2.26504898133882,-0.707783445014985,9.0118296039933,4.15202307948915
748,6.01622797801751,340,0.025,1.4033125,1.57946,0.7813125,0.7701825,-4.33175471431174,-4.08925071630967,-0.527473142332144,8.63836456239647,4.05544571003216
749,6.55357391756768,240,0.55,1.11235,1.23957,1.092195,0.847335,-4.74106146093956,0.59402649510596,-1.1940388448259,8.96708727977495,3.88652421747452
750,6.42250965158175,260,0.6,1.073225,1.21659,1.14502,0.8779,-4.92552095941984,0.894574992629814,-1.17372563815998,9.18337319513911,4.00482377848956
751,3.52346217729615,200,0.45,1.180025,1.29423,1.008055,0.807715,-4.50692346286857,-0.141851498831323,-1.15703104882074,8.70589304263002,3.77443099690464
752,3.866288069728,340,0.45,1.151825,1.31743,1.065415,0.865075,-4.86633945990743,-0.501267495870182,-0.950006490588774,9.16289995885244,4.10644673413183
753,3.62676867429195,215,0.4,1.208575,1.32591,0.97674,0.79866,-4.45724496327786,-0.57718099524475,-1.09971004614966,8.66098472084926,3.7806373373498
754,6.10285858928538,340,0.1,1.3499125,1.54064,0.849795,0.805275,-4.54105346258738,-3.5710374705791,-0.535820437001767,8.87710463865101,4.17064210082462
755,7.98924951762566,275,0.75,0.9858125,1.123,1.24255,0.90865,-5.0970199580069,2.17809998205517,-1.3327496112837,9.3466610927453,4.0069557407308
756,4.15277459345897,340,0.45,1.151825,1.31743,1.065415,0.865075,-4.86633945990743,-0.501267495870182,-0.950006490588774,9.16289995885244,4.10644673413183
757,3.18438427603749,350,0.4,1.1786125,1.35056,1.037685,0.859605,-4.83912446013164,-0.959060492098538,-0.879746453028203,9.14655456933557,4.13340405815369
758,2.15224155533313,200,0.25,1.3048,1.41225,0.861285,0.749985,-4.17342846561615,-1.74838848559546,-1.00538124747343,8.35488216192357,3.67475045722507
759,3.00407395203638,275,0.05,1.419,1.53897,0.736025,0.713765,-3.97471446725331,-3.48970647124917,-0.776097236789141,8.17524887480053,3.6995758190057
760,2.57834475285658,200,0.35,1.24065,1.35469,0.938255,0.782435,-4.36263946405729,-0.96758349202832,-1.06826711325759,8.5589505345407,3.74534171064155
761,2.48596097481858,350,0.175,1.3070875,1.49312,0.8967675,0.8188575,-4.61557121197344,-2.91804322595896,-0.621801941008376,8.94446712132215,4.16133259015689
762,3.16384322755674,245,0.35,1.2336,1.36049,0.952595,0.796775,-4.452493463317,-1.05743749128804,-1.0165109736996,8.6732022635963,3.82834564494835
763,2.48717192788647,300,0.1,1.372825,1.52179,0.80319,0.75867,-4.24902796499331,-3.27901197298503,-0.704027890565237,8.5057865192203,3.90087931432753
764,10.0447939971247,340,0.05,1.380225,1.57087,0.814895,0.792635,-4.46891146318174,-3.9839034671776,-0.491438469220192,8.80363338460635,4.15609745769308
765,3.66858737703099,320,0.5,1.1268,1.28285,1.08956,0.86696,-4.87109095986828,-0.021010999826898,-1.03320556303884,9.15068241610539,4.05873842653328
766,5.50826596103734,340,0.5,1.123275,1.28575,1.09673,0.87413,-4.91601795949814,-0.065937999456755,-1.00732749325985,9.2078082806332,4.10024039368668
767,10.3088120382363,340,0.05,1.380225,1.57087,0.814895,0.792635,-4.46891146318174,-3.9839034671776,-0.491438469220192,8.80363338460635,4.15609745769308
